ville_id,ville,lat,lon,,,,
194,Cuneo,44.38448,7.54267,,,,
195,DAMAZAN,44.2905,0.27642,,,,
196,DAX,43.70861,-1.05195,,,,
197,DEAUVILLE,49.35398,0.07512,,,,
198,DIEPPE,49.92299,1.07748,,,,
199,DIGNE,44.09219,6.23598,,,,
200,DIGNE LES BAINS,44.09219,6.23598,,,,
201,DIJON,47.32205,5.04148,,,,
202,DINAN,48.45437,-2.04733,,,,
203,DINANT,50.26049,4.91275,,,,
204,DINARD,48.63302,-2.05513,,,,
205,DIVONNE LES BAINS,46.35817,6.13604,,,,
206,DOLE,47.09534,5.49081,,,,
207,DOMAINE DU ROURET,44.38128,4.27638,,,,
208,DOUAI,50.36787,3.0806,,,,
209,DOVER,51.12788,1.3134,,,,
210,Draguignan,43.53773,6.46499,,,,
211,DUBLIN,53.33822,-6.24995,,,,
212,DUNKERKE,51.03437,2.37678,,,,
213,DUNKERQUE,51.03437,2.37678,,,,
214,EMBRUN,44.56416,6.49587,,,,
215,ENNISCORTHY,52.5021,-6.5659,,,,
216,EPERNAY,49.04341,3.95624,,,,
217,EPINAL,48.1724,6.4494,,,,
218,EPINAY,48.95574,2.31474,,,,
219,ESCH SUR ALZETTE,49.50088,5.98609,,,,
220,Etampes,48.43442,2.16142,,,,
221,EURALILLE,50.63743,3.07454,,,,
222,EURO DISNEY,48.87223,2.77581,,,,
223,EURODISNEY,48.87223,2.77581,,,,
224,EUROTUNEL,51.01788,1.47455,,,,
225,EVIAN,46.40149,6.59095,,,,
226,EVIAN-LES-BAINS,46.40149,6.59095,,,,
227,EVREUX,49.02701,1.15136,,,,
228,EVRY,48.62983,2.44178,,,,
229,FECAMP,49.7556,0.38077,,,,
230,FELSBERG,51.13333,9.41667,,,,
231,FIGEAC,44.60829,2.03287,,,,
232,FLERS,48.75006,-0.57579,,,,
233,FLEURANCE,43.84946,0.66324,,,,
234,FOIX,42.96413,1.60523,,,,
235,FONT ROMEAU,42.51829,2.03222,,,,
236,FONTAINE,45.19275,5.68821,,,,
237,FONTAINE AU PIRE,50.13042,3.37561,,,,
238,FONTAINEBLEAU,48.40468,2.70162,,,,
239,FONTENAY SOUS BOIS,48.85154,2.47591,,,,
240,FOREST,49.80769,3.09918,,,,
241,FORGES LES EAUX,49.61331,1.54589,,,,
242,FOUGERES,48.35156,-1.20463,,,,
243,FRANKFURT,50.03793,8.56215,,,,
244,FREIBURG,47.99901,7.8421,,,,
245,FRIBOURG,48.76713,6.85951,,,,
246,FRIBOURG-EN-BRISGAU,47.99901,7.8421,,,,
247,FROMENTINE,46.88918,-2.14003,,,,
248,FRONTIGNAN LA PEYRADE,43.42701,3.72675,,,,
249,FUTUROSCOPE,46.66986,0.36976,,,,
250,GAILLAC,43.90182,1.89651,,,,
251,GAILLARD,46.18469,6.20896,,,,
252,GALIBIER,45.0641,6.40773,,,,
253,GANTE,51.05434,3.71742,,,,
254,GAP,44.55964,6.07976,,,,
255,GENEVE,46.20439,6.14316,,,,
256,GERARDMER,48.07008,6.87729,,,,
257,GEX,46.33419,6.05804,,,,
258,GINEBRA,46.20439,6.14316,,,,
259,Girona,41.9844,2.8211,,,,
260,GIVORS,45.58329,4.77283,,,,
261,GOURETTE,42.95884,-0.33211,,,,
262,GRANVILLE,48.83758,-1.5973,,,,
263,GRENOBLE,45.18853,5.72452,,,,
264,GUERET,46.1696,1.87145,,,,
265,Gueugnon,46.60131,4.06499,,,,
266,GUZET NEIGE,42.77937,1.30081,,,,
267,HARELBEKE,50.8567,3.31068,,,,
268,HASSELT,50.93069,5.33248,,,,
269,HAUTACAM,42.97215,-0.00747,,,,
270,HENDAIA,43.3594,-1.76615,,,,
271,HENDAYA,43.3594,-1.76615,,,,
272,HERENTALS,51.1833,4.833,,,,
273,HUY,50.51872,5.23967,,,,
274,HYERES,43.12054,6.12864,,,,
275,ILE D OLERON,45.95397,-1.27337,,,,
276,ISOLA,44.1866,7.05272,,,,
277,ISOLA 2000,44.18598,7.16432,,,,
278,ISSOIRE,45.54151,3.24813,,,,
279,Issoudun,46.94754,1.98865,,,,
280,Isssoire,45.54151,3.24813,,,,
281,IVREA,45.46728,7.88006,,,,
282,JACA,43.31823,0.21483,,,,
283,JAMBES,50.45,4.86666,,,,
284,JAUNAY CLAN,46.68376,0.37508,,,,
285,Jausiers,44.41958,6.73333,,,,
286,JOIGNY,47.98143,3.39896,,,,
287,JOINVILLE,48.44348,5.13769,,,,
288,JONZAC,45.44537,-0.43106,,,,
289,KARLSRUHE,49.00689,8.40365,,,,
290,KOBLENZ,46.05187,4.71932,,,,
291,L ISLE D'ABEAU,45.62316,5.23011,,,,
292,LA BASTIDE D ARMAGNAC,43.96939,-0.18562,,,,
293,LA BAULE,47.28692,-2.39138,,,,
294,LA BAULE PORNICHET,47.26535,-2.34434,,,,
295,LA BOURBOULE,45.58724,2.73899,,,,
296,LA CHATAIGNERAIE,46.64919,-0.73987,,,,
297,LA CHATRE,46.58183,1.98617,,,,
298,LA CHUX DE FONDS,47.10349,6.83278,,,,
299,LA DEFENSE,48.88974,2.24184,,,,
300,LA FERTE SOUS JOUARRE,48.95051,3.13006,,,,
301,LA GRANDE MOTTE,43.5607,4.08607,,,,
302,LA HAYE FOUASSIERE,47.1556,-1.39955,,,,
303,LA MONGIE,42.91025,0.18281,,,,
304,LA PLAGNE,45.50824,6.67655,,,,
