N,annee,etape,ville_depart,ville_arrivee,dep_lat,dep_lon,arr_lat,arr_lon,etape__distance,km_cum_dist,dep_adr,arr_adr,etape__vainqueur,etape__leader,vitesse,distance,partants,arrivants
637,1948,15,AIX LES BAINS,LAUSANA,45.69234,5.90900,46.51965,6.63227,256,165645.5,"Aix-les-Bains, France","Lausanne, Switzerland",Gino Bartali,Gino Bartali,,,,
638,1948,16,LAUSANA,MULHOUSE,46.51965,6.63227,47.75084,7.33589,243,165888.5,"Lausanne, Switzerland","Mulhouse, France",Dijck Edward Van,Gino Bartali,,,,
639,1948,17,MULHOUSE,STRASBOURG,47.75084,7.33589,48.57341,7.75211,120,166008.5,"Mulhouse, France","Strasbourg, France",Roger Lambrecht,Gino Bartali,,,,
640,1948,18,STRASBOURG,METZ,48.57341,7.75211,49.11931,6.17572,195,166203.5,"Strasbourg, France","Metz, France",Giovani Corrieri,Gino Bartali,,,,
641,1948,19,METZ,Liège,49.11931,6.17572,50.63256,5.57967,249,166452.5,"Metz, France","LiÃẀge, Belgium",Gino Bartali,Gino Bartali,,,,
642,1948,20,Liège,ROUBAIX,50.63256,5.57967,50.69270,3.17785,228,166680.5,"LiÃẀge, Belgium","59100 Roubaix, France",Bernard Gauthier,Gino Bartali,,,,
643,1948,21,ROUBAIX,PARIS,50.69270,3.17785,48.85661,2.35222,286,166966.5,"59100 Roubaix, France","Paris, France",Giovani Corrieri,Gino Bartali,,,,
644,1949,1,PARIS,REIMS,48.85661,2.35222,49.25833,4.03170,182,167148.5,"Paris, France","Reims, France",Marcel Dussault,Marcel Dussault,32.121,4808,120,55
645,1949,2,REIMS,BRUXELLES,49.25833,4.03170,48.95109,3.35579,273,167421.5,"Reims, France","Bruxelles, 02570 La Chapelle-sur-ChÃ©zy, France",Roger Lambrecht,Roger Lambrecht,,,,
646,1949,3,BRUXELLES,BOULOGNE,48.95109,3.35579,50.72523,1.61333,211,167632.5,"Bruxelles, 02570 La Chapelle-sur-ChÃ©zy, France","62200 Boulogne-sur-Mer, France",Norbert Callens,Norbert Callens,,,,
647,1949,4,BOULOGNE,ROUEN,50.72523,1.61333,49.44323,1.09997,185,167817.5,"62200 Boulogne-sur-Mer, France","Rouen, France",Lucien Teisseire,Jacques Marinelli,,,,
648,1949,5,ROUEN,SAINT MALO,49.44323,1.09997,48.64934,-2.02567,293,168110.5,"Rouen, France","St-Malo, France",Ferdi Kubler,Jacques Marinelli,,,,
649,1949,6,SAINT MALO,LES SABLES D OLONNE,48.64934,-2.02567,46.49296,-1.79549,305,168415.5,"St-Malo, France","85100 Les Sables-d'Olonne, France",Adolphe Deledda,Jacques Marinelli,,,,
650,1949,7,LES SABLES D OLONNE,LA ROCHELLE,46.49296,-1.79549,46.16033,-1.15114,92,168507.5,"85100 Les Sables-d'Olonne, France","La Rochelle, France",Fausto Coppi,Jacques Marinelli,,,,
651,1949,8,LA ROCHELLE,BORDEAUX,46.16033,-1.15114,44.83779,-0.57918,262,168769.5,"La Rochelle, France","Bordeaux, France",Guy Lapebie,Jacques Marinelli,,,,
652,1949,9,BORDEAUX,SAN SEBASTIAN,44.83779,-0.57918,43.31833,-1.98123,228,168997.5,"Bordeaux, France","San SebastiÃḂn, Gipuzkoa, Spain",Louis Caput,Jacques Marinelli,,,,
653,1949,10,SAN SEBASTIAN,PAU,43.31833,-1.98123,43.29510,-0.37080,196,169193.5,"San SebastiÃḂn, Gipuzkoa, Spain","64000 Pau, France",Fiorenzo Magni,Fiorenzo Magni,,,,
654,1949,11,PAU,BAGNERES DE LUCHON,43.29510,-0.37080,42.78896,0.59294,193,169386.5,"64000 Pau, France","31110 BagnÃẀres-de-Luchon, France",Jean Robic,Fiorenzo Magni,,,,
655,1949,12,BAGNERES DE LUCHON,TOULOUSE,42.78896,0.59294,43.60465,1.44421,134,169520.5,"31110 BagnÃẀres-de-Luchon, France","Toulouse, France",Steenbergen Rik Van,Fiorenzo Magni,,,,
656,1949,13,TOULOUSE,NIMES,43.60465,1.44421,43.83670,4.36005,289,169809.5,"Toulouse, France","Nimes, France",Emile Idee,Fiorenzo Magni,,,,
657,1949,14,NIMES,MARSEILLE,43.83670,4.36005,43.29648,5.36978,199,170008.5,"Nimes, France","Marseille, France",Jean Goldschmit,Fiorenzo Magni,,,,
658,1949,15,MARSEILLE,CANNES,43.29648,5.36978,43.55285,7.01737,215,170223.5,"Marseille, France","Cannes, France",Desire Keteleer,Fiorenzo Magni,,,,
659,1949,16,CANNES,BRIANCON,43.55285,7.01737,44.89942,6.64318,274,170497.5,"Cannes, France","05100 BrianÃ§on, France",Gino Bartali,Gino Bartali,,,,
660,1949,17,BRIANCON,AOSTA,44.89942,6.64318,44.71386,5.05661,257,170754.5,"05100 BrianÃ§on, France","26400 Aouste-sur-Sye, France",Fausto Coppi,Fausto Coppi,,,,
661,1949,18,AOSTA,LAUSANA,44.71386,5.05661,46.51965,6.63227,265,171019.5,"26400 Aouste-sur-Sye, France","Lausanne, Switzerland",Vicenzo Rossello,Fausto Coppi,,,,
662,1949,19,LAUSANA,COLMAR,46.51965,6.63227,48.07936,7.35851,283,171302.5,"Lausanne, Switzerland","68000 Colmar, France",Raphael Geminiani,Fausto Coppi,,,,
663,1949,20,COLMAR,NANCY,48.07936,7.35851,48.69205,6.18442,137,171439.5,"68000 Colmar, France","Nancy, France",Fausto Coppi,Fausto Coppi,,,,
664,1949,21,NANCY,PARIS,48.69205,6.18442,48.85661,2.35222,340,171779.5,"Nancy, France","Paris, France",Steenbergen Rik Van,Fausto Coppi,,,,
665,1950,1,PARIS,METZ,48.85661,2.35222,49.11931,6.17572,307,172086.5,"Paris, France","Metz, France",Jean Goldschmit,Jean Goldschmit,32.778,4773,116,51
666,1950,2,METZ,Liège,49.11931,6.17572,50.63256,5.57967,241,172327.5,"Metz, France","LiÃẀge, Belgium",Adolfo Leoni,Jean Goldschmit,,,,
667,1950,3,Liège,LILLE,50.63256,5.57967,50.62925,3.05726,232,172559.5,"LiÃẀge, Belgium","Lille, France",Alfredo Pasotti,Bernard Gauthier,,,,
668,1950,4,LILLE,ROUEN,50.62925,3.05726,49.44323,1.09997,231,172790.5,"Lille, France","Rouen, France",Constant Ockers,Bernard Gauthier,,,,
669,1950,5,ROUEN,DINARD,49.44323,1.09997,48.63302,-2.05513,316,173106.5,"Rouen, France","35800 Dinard, France",Giovani Corrieri,Bernard Gauthier,,,,
670,1950,6,DINARD,SAINT BRIEUC,48.63302,-2.05513,48.51418,-2.76584,78,173184.5,"35800 Dinard, France","22000 Saint-Brieuc, France",Ferdi Kubler,Jean Goldschmit,,,,
671,1950,7,SAINT BRIEUC,ANGERS,48.51418,-2.76584,47.47842,-0.56317,248,173432.5,"22000 Saint-Brieuc, France","Angers, France",Nello Lauredi,Bernard Gauthier,,,,
672,1950,8,ANGERS,NIORT,47.47842,-0.56317,46.32372,-0.46478,181,173613.5,"Angers, France","79000 Niort, France",Fiorenzo Magni,Bernard Gauthier,,,,
673,1950,9,NIORT,BORDEAUX,46.32372,-0.46478,44.83779,-0.57918,206,173819.5,"79000 Niort, France","Bordeaux, France",Alfredo Pasotti,Bernard Gauthier,,,,
674,1950,10,BORDEAUX,PAU,44.83779,-0.57918,43.29510,-0.37080,202,174021.5,"Bordeaux, France","64000 Pau, France",Marcel Dussault,Bernard Gauthier,,,,
675,1950,11,PAU,SAINT GAUDENS,43.29510,-0.37080,43.10690,0.72376,230,174251.5,"64000 Pau, France","31800 Saint-Gaudens, France",Gino Bartali,Fiorenzo Magni,,,,
676,1950,12,SAINT GAUDENS,PERPIGNAN,43.10690,0.72376,42.68866,2.89483,233,174484.5,"31800 Saint-Gaudens, France","Perpignan, France",Maurice Blomme,Ferdi Kubler,,,,
677,1950,13,PERPIGNAN,NIMES,42.68866,2.89483,43.83670,4.36005,215,174699.5,"Perpignan, France","Nimes, France",Marcel Molines,Ferdi Kubler,,,,
678,1950,14,NIMES,TOULON,43.83670,4.36005,43.12423,5.92800,222,174921.5,"Nimes, France","Toulon, France",Reis Gustodio Dos,Ferdi Kubler,,,,
679,1950,15,TOULON,MENTON,43.12423,5.92800,43.77448,7.49754,205,175126.5,"Toulon, France","06500 Menton, France",Bim Diederich,Ferdi Kubler,,,,
680,1950,16,MENTON,NICE,43.77448,7.49754,43.71017,7.26195,96,175222.5,"06500 Menton, France","Nice, France",Ferdi Kubler,Ferdi Kubler,,,,
681,1950,17,NICE,GAP,43.71017,7.26195,44.55964,6.07976,229,175451.5,"Nice, France","05000 Gap, France",Raphael Geminiani,Ferdi Kubler,,,,
682,1950,18,GAP,BRIANCON,44.55964,6.07976,44.89942,6.64318,165,175616.5,"05000 Gap, France","05100 BrianÃ§on, France",Louis Bobet,Ferdi Kubler,,,,
683,1950,19,BRIANCON,ST.ETIENNE,44.89942,6.64318,45.43970,4.38718,291,175907.5,"05100 BrianÃ§on, France","Saint-Ãtienne, France",Raphael Geminiani,Ferdi Kubler,,,,
684,1950,20,ST.ETIENNE,LYON,45.43970,4.38718,45.76404,4.83566,98,176005.5,"Saint-Ãtienne, France","Lyon, France",Ferdi Kubler,Ferdi Kubler,,,,
685,1950,21,LYON,DIJON,45.76404,4.83566,47.32205,5.04148,233,176238.5,"Lyon, France","21000 Dijon, France",Gino Sciardis,Ferdi Kubler,,,,
686,1950,22,DIJON,PARIS,47.32205,5.04148,48.85661,2.35222,314,176552.5,"21000 Dijon, France","Paris, France",Emile Baffert,Ferdi Kubler,,,,
687,1951,1,METZ,REIMS,49.11931,6.17572,49.25833,4.03170,185,176737.5,"Metz, France","Reims, France",Giovanni Rossi,Giovanni Rossi,32.949,4690,123,66
688,1951,2,REIMS,GANTE,49.25833,4.03170,51.05434,3.71742,228,176965.5,"Reims, France","Ghent, Belgium",Jean Diederich Diederich,Jean Diederich,,,,
689,1951,3,GANTE,LE TREPORT,51.05434,3.71742,50.05917,1.38247,219,177184.5,"Ghent, Belgium","Le TrÃ©port, France",Georges Meunier,Jean Diederich,,,,
690,1951,4,LE TREPORT,PARIS,50.05917,1.38247,48.85661,2.35222,188,177372.5,"Le TrÃ©port, France","Paris, France",Roger Levegue,Jean Diederich,,,,
691,1951,5,PARIS,CAEN,48.85661,2.35222,49.18286,-0.37068,215,177587.5,"Paris, France","14000 Caen, France",Serafino Biagioni,Serafino Biagioni,,,,
692,1951,6,CAEN,RENNES,49.18286,-0.37068,48.11727,-1.67779,182,177769.5,"14000 Caen, France","Rennes, France",Edouard Muller,Roger Levegue,,,,
693,1951,7,RENNES,ANGERS,48.11727,-1.67779,47.47842,-0.56317,85,177854.5,"Rennes, France","Angers, France",Hugo Koblet,Roger Levegue,,,,
694,1951,8,ANGERS,LIMOGES,47.47842,-0.56317,45.83362,1.26111,241,178095.5,"Angers, France","Limoges, France",Andre Rosseel,Roger Levegue,,,,
695,1951,9,LIMOGES,PUY DE DOME,45.83362,1.26111,45.71241,3.01558,236,178331.5,"Limoges, France","Puy-de-Dome, France",Raphael Geminiani,Roger Levegue,,,,
696,1951,10,CLERMONT FERRAND,BRIVE,45.77722,3.08703,45.15956,1.53394,216,178547.5,"Clermont-Ferrand, France","19100 Brive-la-Gaillarde, France",Bernardo Ruiz,Roger Levegue,,,,
697,1951,11,BRIVE,AGEN,45.15956,1.53394,44.20314,0.61636,177,178724.5,"19100 Brive-la-Gaillarde, France","Agen, France",Hugo Koblet,Roger Levegue,,,,
698,1951,12,AGEN,DAX,44.20314,0.61636,43.70861,-1.05195,185,178909.5,"Agen, France","40100 Dax, France",Est Wim Van,Est Wim Van,,,,
699,1951,13,DAX,TARBES,43.70861,-1.05195,43.23295,0.07808,201,179110.5,"40100 Dax, France","Tarbes, France",Serafino Biagioni,Gilbert Bauvin,,,,
700,1951,14,TARBES,BAGNERES DE LUCHON,43.23295,0.07808,42.78896,0.59294,142,179252.5,"Tarbes, France","31110 BagnÃẀres-de-Luchon, France",Hugo Koblet,Hugo Koblet,,,,
701,1951,15,BAGNERES DE LUCHON,CARCASSONNE,42.78896,0.59294,43.21216,2.35366,213,179465.5,"31110 BagnÃẀres-de-Luchon, France","11000 Carcassonne, France",Andre Rosseel,Hugo Koblet,,,,
702,1951,16,CARCASSONNE,MONTPELLIER,43.21216,2.35366,43.61077,3.87672,192,179657.5,"11000 Carcassonne, France","Montpellier, France",Hugo Koblet,Hugo Koblet,,,,
703,1951,17,MONTPELLIER,AVIGNON,43.61077,3.87672,43.94932,4.80553,224,179881.5,"Montpellier, France","Avignon, France",Louis Bobet,Hugo Koblet,,,,
704,1951,18,AVIGNON,MARSEILLE,43.94932,4.80553,43.29648,5.36978,173,180054.5,"Avignon, France","Marseille, France",Fiorenzo Magni,Hugo Koblet,,,,
705,1951,19,MARSEILLE,GAP,43.29648,5.36978,44.55964,6.07976,203,180257.5,"Marseille, France","05000 Gap, France",Armand Baeyens,Hugo Koblet,,,,
706,1951,20,GAP,BRIANCON,44.55964,6.07976,44.89942,6.64318,165,180422.5,"05000 Gap, France","05100 BrianÃ§on, France",Fausto Coppi,Hugo Koblet,,,,
707,1951,21,BRIANCON,AIX LES BAINS,44.89942,6.64318,45.69234,5.90900,201,180623.5,"05100 BrianÃ§on, France","Aix-les-Bains, France",Bernardo Ruiz,Hugo Koblet,,,,
708,1951,22,AIX LES BAINS,GINEBRA,45.69234,5.90900,46.20439,6.14316,95,180718.5,"Aix-les-Bains, France","Geneva, Switzerland",Hugo Koblet,Hugo Koblet,,,,
709,1951,23,GINEBRA,DIJON,46.20439,6.14316,47.32205,5.04148,197,180915.5,"Geneva, Switzerland","21000 Dijon, France",Germain Derycke,Hugo Koblet,,,,
710,1951,24,DIJON,PARIS,47.32205,5.04148,48.85661,2.35222,322,181237.5,"21000 Dijon, France","Paris, France",Adolphe Deledda,Hugo Koblet,,,,
711,1952,1,BREST,RENNES,48.39039,-4.48608,48.11727,-1.67779,246,181483.5,"Brest, France","Rennes, France",Steenbergen Rik Van,Steenbergen Rik Van,32.233,4898,122,78
712,1952,2,RENNES,LE MANS,48.11727,-1.67779,48.00611,0.19956,181,181664.5,"Rennes, France","Le Mans, France",Andre Rosseel,Steenbergen Rik Van,,,,
713,1952,3,LE MANS,ROUEN,48.00611,0.19956,49.44323,1.09997,189,181853.5,"Le Mans, France","Rouen, France",Nello Lauredi,Nello Lauredi,,,,
714,1952,4,ROUEN,ROUBAIX,49.44323,1.09997,50.69270,3.17785,232,182085.5,"Rouen, France","59100 Roubaix, France",Pierre Molineris,Nello Lauredi,,,,
715,1952,5,ROUBAIX,NAMUR,50.69270,3.17785,50.46739,4.87199,197,182282.5,"59100 Roubaix, France","Namur, Belgium",Bim Diederich,Nello Lauredi,,,,
716,1952,6,NAMUR,METZ,50.46739,4.87199,49.11931,6.17572,228,182510.5,"Namur, Belgium","Metz, France",Fiorenzo Magni,Fiorenzo Magni,,,,
717,1952,7,METZ,NANCY,49.11931,6.17572,48.69205,6.18442,60,182570.5,"Metz, France","Nancy, France",Fausto Coppi,Nello Lauredi,,,,
718,1952,8,NANCY,MULHOUSE,48.69205,6.18442,47.75084,7.33589,252,182822.5,"Nancy, France","Mulhouse, France",Raphael Geminiani,Fiorenzo Magni,,,,
719,1952,9,MULHOUSE,LAUSANA,47.75084,7.33589,46.51965,6.63227,238,183060.5,"Mulhouse, France","Lausanne, Switzerland",Walter Diggelmann,Andrea Carrea,,,,
720,1952,10,LAUSANA,Alpe d'Huez,46.51965,6.63227,45.09091,6.06477,266,183326.5,"Lausanne, Switzerland","51 Route de la Poste, 38750 Alpe d'Huez, France",Fausto Coppi,Fausto Coppi,,,,
721,1952,11,BOURG D'OISANS,SESTRIERES,45.05195,6.03006,44.95785,6.87909,182,183508.5,"38520 Le Bourg-d'Oisans, France","10058 Sestriere TO, Italy",Fausto Coppi,Fausto Coppi,,,,
722,1952,12,SESTRIERE,MONACO,44.95785,6.87909,43.40501,5.26312,251,183759.5,"10058 Sestriere TO, Italy","Monaco, 13730 Saint-Victoret, France",Jan Nolten,Fausto Coppi,,,,
723,1952,13,MONACO,AIX EN PROVENCE,43.40501,5.26312,43.52974,5.44743,214,183973.5,"Monaco, 13730 Saint-Victoret, France","Aix-en-Provence, France",Raoul Remy,Fausto Coppi,,,,
724,1952,14,AIX EN PROVENCE,AVIGNON,43.52974,5.44743,43.94932,4.80553,178,184151.5,"Aix-en-Provence, France","Avignon, France",Jean Robic,Fausto Coppi,,,,
725,1952,15,AVIGNON,PERPIGNAN,43.94932,4.80553,42.68866,2.89483,255,184406.5,"Avignon, France","Perpignan, France",Georges Decaux,Fausto Coppi,,,,
726,1952,16,PERPIGNAN,TOULOUSE,42.68866,2.89483,43.60465,1.44421,200,184606.5,"Perpignan, France","Toulouse, France",Andre Rosseel,Fausto Coppi,,,,
727,1952,17,TOULOUSE,BAGNERES DE BIGORRE,43.60465,1.44421,43.06509,0.14910,204,184810.5,"Toulouse, France","65200 BagnÃẀres-de-Bigorre, France",Raphael Geminiani,Fausto Coppi,,,,
728,1952,18,BAGNERES DE BIGORRE,PAU,43.06509,0.14910,43.29510,-0.37080,149,184959.5,"65200 BagnÃẀres-de-Bigorre, France","64000 Pau, France",Fausto Coppi,Fausto Coppi,,,,
729,1952,19,PAU,BORDEAUX,43.29510,-0.37080,44.83779,-0.57918,195,185154.5,"64000 Pau, France","Bordeaux, France",Hans Dekkers,Fausto Coppi,,,,
730,1952,20,BORDEAUX,LIMOGES,44.83779,-0.57918,45.83362,1.26111,228,185382.5,"Bordeaux, France","Limoges, France",Jacques Vivier,Fausto Coppi,,,,
731,1952,21,LIMOGES,PUY DE DOME,45.83362,1.26111,45.71241,3.01558,245,185627.5,"Limoges, France","Puy-de-Dome, France",Fausto Coppi,Fausto Coppi,,,,
732,1952,22,CLERMONT FERRAND,VICHY,45.77722,3.08703,46.13186,3.42549,63,185690.5,"Clermont-Ferrand, France","Vichy, France",Fiorenzo Magni,Fausto Coppi,,,,
733,1952,23,VICHY,PARIS,46.13186,3.42549,48.85661,2.35222,345,186035.5,"Vichy, France","Paris, France",Antonin Rolland,Fausto Coppi,,,,
734,1953,1,STRASBOURG,METZ,48.57341,7.75211,49.11931,6.17572,195,186230.5,"Strasbourg, France","Metz, France",Fritz Schaer,Fritz Schaer,34.593,4476,119,76
735,1953,2,METZ,Liège,49.11931,6.17572,50.63256,5.57967,227,186457.5,"Metz, France","LiÃẀge, Belgium",Fritz Schaer,Fritz Schaer,,,,
736,1953,3,Liège,LILLE,50.63256,5.57967,50.62925,3.05726,221,186678.5,"LiÃẀge, Belgium","Lille, France",Stanis. Bober,Fritz Schaer,,,,
737,1953,4,LILLE,DIEPPE,50.62925,3.05726,49.92299,1.07748,188,186866.5,"Lille, France","76200 Dieppe, France",Gerrit Voorting,Fritz Schaer,,,,
738,1953,5,DIEPPE,CAEN,49.92299,1.07748,49.18286,-0.37068,200,187066.5,"76200 Dieppe, France","14000 Caen, France",Jean Mallejac,Roger Hassenforder,,,,
739,1953,6,CAEN,LE MANS,49.18286,-0.37068,48.00611,0.19956,205,187271.5,"14000 Caen, France","Le Mans, France",Geneugden Martin Van,Roger Hassenforder,,,,
740,1953,7,LE MANS,NANTES,48.00611,0.19956,47.21837,-1.55362,181,187452.5,"Le Mans, France","Nantes, France",L. Isotti,Roger Hassenforder,,,,
741,1953,8,NANTES,BORDEAUX,47.21837,-1.55362,44.83779,-0.57918,345,187797.5,"Nantes, France","Bordeaux, France",Jan Nolten,Roger Hassenforder,,,,
742,1953,9,BORDEAUX,PAU,44.83779,-0.57918,43.29510,-0.37080,197,187994.5,"Bordeaux, France","64000 Pau, France",Fiorenzo Magni,Fritz Schaer,,,,
743,1953,10,PAU,CAUTERETS,43.29510,-0.37080,42.88905,-0.11425,103,188097.5,"64000 Pau, France","65110 Cauterets, France",Jesus Lorono,Fritz Schaer,,,,
744,1953,11,CAUTERETS,LUCHON,42.88905,-0.11425,42.78896,0.59294,115,188212.5,"65110 Cauterets, France","31110 BagnÃẀres-de-Luchon, France",Jean Robic,Jean Robic,,,,
745,1953,12,BAGNERES DE LUCHON,ALBI,42.78896,0.59294,43.92509,2.14864,228,188440.5,"31110 BagnÃẀres-de-Luchon, France","81000 Albi, France",Andre Darrigade,Francois Mahe,,,,
746,1953,13,ALBI,BEZIERS,43.92509,2.14864,43.34423,3.21580,189,188629.5,"81000 Albi, France","34500 BÃ©ziers, France",Nello Lauredi,Jean Mallejac,,,,
747,1953,14,BEZIERS,NIMES,43.34423,3.21580,43.83670,4.36005,214,188843.5,"34500 BÃ©ziers, France","Nimes, France",Bernard Quennechen,Jean Mallejac,,,,
748,1953,15,NIMES,MARSEILLE,43.83670,4.36005,43.29648,5.36978,173,189016.5,"Nimes, France","Marseille, France",Maurice Quentin,Jean Mallejac,,,,
749,1953,16,MARSEILLE,MONACO,43.29648,5.36978,43.40501,5.26312,236,189252.5,"Marseille, France","Monaco, 13730 Saint-Victoret, France",Est Wim Van,Jean Mallejac,,,,
750,1953,17,MONACO,GAP,43.40501,5.26312,44.55964,6.07976,261,189513.5,"Monaco, 13730 Saint-Victoret, France","05000 Gap, France",Wout Wagtmans,Jean Mallejac,,,,
751,1953,18,GAP,BRIANCON,44.55964,6.07976,44.89942,6.64318,165,189678.5,"05000 Gap, France","05100 BrianÃ§on, France",Louis Bobet,Louis Bobet,,,,
752,1953,19,BRIANCON,LYON,44.89942,6.64318,45.76404,4.83566,227,189905.5,"05100 BrianÃ§on, France","Lyon, France",Georges Meunier,Louis Bobet,,,,
753,1953,20,LYON,ST.ETIENNE,45.76404,4.83566,45.43970,4.38718,70,189975.5,"Lyon, France","Saint-Ãtienne, France",Louis Bobet,Louis Bobet,,,,
754,1953,21,ST.ETIENNE,MONTLUCON,45.43970,4.38718,46.34155,2.60199,210,190185.5,"Saint-Ãtienne, France","03100 MontluÃ§on, France",Wout Wagtmans,Louis Bobet,,,,
755,1953,22,MONTLUCON,PARIS,46.34155,2.60199,48.85661,2.35222,328,190513.5,"03100 MontluÃ§on, France","Paris, France",Fiorenzo Magni,Louis Bobet,,,,
756,1954,1,AMSTERDAM,BRASCHAAT,52.37587,4.90127,51.30000,4.50000,216,190729.5,"Oudezijds Kolk 11, 1012 AL Amsterdam, Netherlands",NA,Wout Wagtmans,Wout Wagtmans,33.229,4656,110,69
757,1954,2,BEVEREN,LILLE,50.96855,3.14431,50.62925,3.05726,255,190984.5,"Beveren, 8800 Roeselare, Belgium","Lille, France",Louis Bobet,Wout Wagtmans,,,,
758,1954,3,LILLE,ROUEN,50.62925,3.05726,49.44323,1.09997,219,191203.5,"Lille, France","Rouen, France",Marcel Dussault,Wout Wagtmans,,,,
759,1954,4,ROUEN,CAEN,49.44323,1.09997,49.18286,-0.37068,131,191334.5,"Rouen, France","14000 Caen, France",Wim van Est,Louis Bobet,,,,
760,1954,4,ROUEN,ROUEN,49.44323,1.09997,49.44323,1.09997,10.4,191344.9,"Rouen, France","Rouen, France",AMATEUR,Louis Bobet,,,,
761,1954,5,CAEN,SAINT BRIEUC,49.18286,-0.37068,48.51418,-2.76584,224,191568.9,"14000 Caen, France","22000 Saint-Brieuc, France",Ferdi Kubler,Louis Bobet,,,,
762,1954,6,SAINT BRIEUC,BREST,48.51418,-2.76584,48.39039,-4.48608,179,191747.9,"22000 Saint-Brieuc, France","Brest, France",Dominique Forlini,Louis Bobet,,,,
763,1954,7,BREST,VANNES,48.39039,-4.48608,47.65824,-2.76085,211,191958.9,"Brest, France","Vannes, France",Jacques Vivier,Louis Bobet,,,,
764,1954,8,VANNES,ANGERS,47.65824,-2.76085,47.47842,-0.56317,224,192182.9,"Vannes, France","Angers, France",Bruyne Alfred De,Wout Wagtmans,,,,
765,1954,9,ANGERS,BORDEAUX,47.47842,-0.56317,44.83779,-0.57918,343,192525.9,"Angers, France","Bordeaux, France",Henk Faanhof,Wout Wagtmans,,,,
766,1954,10,BORDEAUX,BAYONNE,44.83779,-0.57918,43.49295,-1.47484,202,192727.9,"Bordeaux, France","Bayonne, France",Gilbert Bauvin,Wout Wagtmans,,,,
767,1954,11,BAYONNE,PAU,43.49295,-1.47484,43.29510,-0.37080,241,192968.9,"Bayonne, France","64000 Pau, France",Constant Ockers,Wout Wagtmans,,,,
768,1954,12,PAU,BAGNERES DE LUCHON,43.29510,-0.37080,42.78896,0.59294,168,193136.9,"64000 Pau, France","31110 BagnÃẀres-de-Luchon, France",Gilbert Bauvin,Gilbert Bauvin,,,,
769,1954,13,BAGNERES DE LUCHON,TOULOUSE,42.78896,0.59294,43.60465,1.44421,203,193339.9,"31110 BagnÃẀres-de-Luchon, France","Toulouse, France",Bruyne Alfred De,Gilbert Bauvin,,,,
770,1954,14,TOULOUSE,MILLAU,43.60465,1.44421,44.10058,3.07780,225,193564.9,"Toulouse, France","12100 Millau, France",Ferdi Kübler,Louis Bobet,,,,
771,1954,15,MILLAU,LE PUY,44.10058,3.07780,45.04277,3.88294,197,193761.9,"12100 Millau, France","43000 Le Puy, France",Dominique Forlini,Louis Bobet,,,,
772,1954,16,LE PUY,LYON,45.04277,3.88294,45.76404,4.83566,194,193955.9,"43000 Le Puy, France","Lyon, France",Jean Forestier,Louis Bobet,,,,
773,1954,17,LYON,GRENOBLE,45.76404,4.83566,45.18853,5.72452,182,194137.9,"Lyon, France","Grenoble, France",Lucien Lazarides,Louis Bobet,,,,
774,1954,18,GRENOBLE,BRIANCON,45.18853,5.72452,44.89942,6.64318,216,194353.9,"Grenoble, France","05100 BrianÃ§on, France",Louis Bobet,Louis Bobet,,,,
775,1954,19,BRIANCON,AIX LES BAINS,44.89942,6.64318,45.69234,5.90900,221,194574.9,"05100 BrianÃ§on, France","Aix-les-Bains, France",Jean Bapti Dotto,Louis Bobet,,,,
776,1954,20,AIX LES BAINS,BESANCON,45.69234,5.90900,47.23783,6.02405,243,194817.9,"Aix-les-Bains, France","25000 BesanÃ§on, France",Lucien Teisseire,Louis Bobet,,,,
777,1954,21,BESANCON,EPINAL,47.23783,6.02405,48.17240,6.44940,134,194951.9,"25000 BesanÃ§on, France","88000 Ãpinal, France",Louis Bobet,Louis Bobet,,,,
778,1954,21,EPINAL,NANCY,48.17240,6.44940,48.69205,6.18442,72,195023.9,"88000 Ãpinal, France","Nancy, France",Alfred De Bruyne,Louis Bobet,,,,
779,1954,22,NANCY,TROYES,48.69205,6.18442,48.29735,4.07440,216,195239.9,"Nancy, France","10000 Troyes, France",Bruyne Alfred De,Louis Bobet,,,,
780,1954,23,TROYES,PARIS,48.29735,4.07440,48.85661,2.35222,180,195419.9,"10000 Troyes, France","Paris, France",Robert Varnajo,Louis Bobet,,,,
781,1955,1,DIEPPE,DIEPPE,49.92299,1.07748,49.92299,1.07748,12.5,195432.4,"76200 Dieppe, France","76200 Dieppe, France",SELECCION HOLANDA,Miguel Poblet,34.446,4495,110,69
782,1955,1,LE HAVRE,DIEPPE,49.49437,0.10793,49.92299,1.07748,102,195534.4,"Le Havre, France","76200 Dieppe, France",Miguel Poblet,Miguel Poblet,,,,
783,1955,2,DIEPPE,ROUBAIX,49.92299,1.07748,50.69270,3.17785,204,195738.4,"76200 Dieppe, France","59100 Roubaix, France",Antonin Rolland,Wout Wagtmans,,,,
784,1955,3,ROUBAIX,NAMUR,50.69270,3.17785,50.46739,4.87199,223,195961.4,"59100 Roubaix, France","Namur, Belgium",Louis Bobet,Wout Wagtmans,,,,
785,1955,4,NAMUR,METZ,50.46739,4.87199,49.11931,6.17572,232,196193.4,"Namur, Belgium","Metz, France",Willy Kemp,Antonin Rolland,,,,
786,1955,5,METZ,COLMAR,49.11931,6.17572,48.07936,7.35851,229,196422.4,"Metz, France","68000 Colmar, France",Roger Hassenforder,Antonin Rolland,,,,
