N, lon, lat
160,6.12968730926514,46.5669937133789
161,6.16074228286743,46.6110343933105
162,6.28515625,46.6830558776855
163,6.41015625,46.7554206848145
164,6.42900419235229,46.832275390625
165,6.43857431411743,46.9258804321289
166,6.45625019073486,46.9483413696289
167,6.62480449676514,47.0043487548828
168,6.66689491271973,47.0265159606934
169,6.68808603286743,47.0582504272461
170,6.82070350646973,47.1631851196289
171,6.95205068588257,47.2671852111816
172,6.97851514816284,47.3020515441895
173,7.00058555603027,47.322509765625
174,7.00058555603027,47.3394546508789
175,6.98408222198486,47.3525390625
176,6.92148447036743,47.3612327575684
177,6.900390625,47.3942375183105
178,6.96835899353027,47.4532241821289
179,7.05341815948486,47.4893569946289
180,7.13603544235229,47.4898452758789
181,7.16923809051514,47.4732437133789
182,7.16747999191284,47.4537124633789
